fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.5547682709447416,0.3752503003604325,4,,False
1,123,0.5464387793828127,0.3662768766503206,4,,False
1,2026,0.5579264214046822,0.3899100508408291,4,,False
2,42,0.42487468671679196,0.1908459337964854,4,,False
2,123,0.5455980800808387,0.3872741555380991,4,,False
2,2026,0.44070961718020546,0.23779277491067885,4,,False
3,42,0.5563725490196079,0.3717277486910995,4,,False
3,123,0.5551724137931034,0.36378466557911904,4,,False
3,2026,0.5149321266968325,0.342327150084317,4,,False
4,42,0.4018772893772894,0.16798732171156883,4,,False
4,123,0.5144183434103149,0.37603993344425946,4,,False
4,2026,0.5009144072301968,0.2734375,4,,False
5,42,0.4724972396025027,0.252411575562701,4,,False
5,123,0.5785714285714286,0.49029126213592233,4,,False
5,2026,0.5364042207792208,0.4155844155844156,4,,False
