train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.48186871673565934,0.2703351234880266,False,0,0.3333333333333333,62,0.5824561403508772,140,0.651685393258427,45,0.36,53
123,0.5631323987670245,0.3971580307162337,False,0,0.5185185185185185,71,0.6319702602230484,124,0.7142857142857143,54,0.3877551020408163,51
2026,0.5242145613016458,0.33214817662038143,False,0,0.460431654676259,75,0.5756457564575646,126,0.7346938775510204,54,0.32608695652173914,45
