experiment_version,silver_size,sample_seed,train_seed,use_class_weights,dry_run,macro_f1,cohen_kappa,class_collapse,metrics_file,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
legacy,500,legacy,42,True,False,0.2596989703844543,0.10617433939341359,True,silver_500_seed42_metrics.json,0.0,0,0.39631336405529954,72,0.3356643356643357,99,0.3068181818181818,129
legacy,500,legacy,123,True,False,0.3149518835378683,0.144985749762496,True,silver_500_seed123_metrics.json,0.0,0,0.6019417475728155,164,0.43564356435643564,57,0.2222222222222222,79
legacy,500,legacy,2026,True,False,0.294643648992691,0.12773706218245595,True,silver_500_seed2026_metrics.json,0.0,0,0.45643153526970953,96,0.4462809917355372,77,0.27586206896551724,127
legacy,1000,legacy,42,True,False,0.2049642949324615,0.05392156862745101,True,silver_1000_seed42_metrics.json,0.0,0,0.535593220338983,150,0.0,0,0.28426395939086296,150
legacy,1000,legacy,123,True,False,0.41840385732362306,0.28248134300116556,False,silver_1000_seed123_metrics.json,0.058823529411764705,4,0.5668016194331984,102,0.7226890756302521,75,0.3253012048192771,119
legacy,1000,legacy,2026,True,False,0.2090960845526169,0.07767650659774183,True,silver_1000_seed2026_metrics.json,0.0,0,0.21965317919075145,28,0.35802469135802467,118,0.25870646766169153,154
legacy,1500,legacy,42,True,False,0.4811504191881632,0.31903460415991103,False,silver_1500_seed42_metrics.json,0.425531914893617,30,0.59375,111,0.6614173228346457,83,0.24390243902439024,76
legacy,1500,legacy,123,True,False,0.40076896787423105,0.2621419676214196,True,silver_1500_seed123_metrics.json,0.0,0,0.5939849624060151,121,0.7090909090909091,66,0.3,113
legacy,1500,legacy,2026,True,False,0.3771492352997055,0.24030696539690877,True,silver_1500_seed2026_metrics.json,0.0,0,0.5747126436781609,116,0.6611570247933884,77,0.2727272727272727,107
legacy,2000,legacy,42,True,False,0.5343505627168069,0.3478671791317498,False,silver_2000_seed42_metrics.json,0.5132743362831859,49,0.5811320754716981,120,0.7572815533980582,59,0.2857142857142857,72
