experiment_version,silver_size,use_class_weights,dry_run,runs,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std,class_collapse_runs,agree_f1_mean,agree_prediction_count_mean,disagree_f1_mean,disagree_prediction_count_mean,question_f1_mean,question_prediction_count_mean,statement_f1_mean,statement_prediction_count_mean
legacy,500,True,False,3,0.28976483430500455,0.027947687338172867,0.12629905044612186,0.019445624238494007,3,0.0,0.0,0.4848955489659415,110.66666666666667,0.40586296391876947,77.66666666666667,0.2683008243353071,111.66666666666667
legacy,1000,True,False,3,0.2774880789362338,0.12205412885379648,0.13802647274211946,0.12566416126191854,2,0.0196078431372549,1.3333333333333333,0.4406826729876443,93.33333333333333,0.3602379223294256,64.33333333333333,0.28942387729061053,141.0
legacy,1500,True,False,3,0.4196895407873666,0.054521120880546434,0.2738278457260798,0.04064394280341386,2,0.14184397163120568,10.0,0.587482535361392,116.0,0.6772217522396478,75.33333333333333,0.272209903917221,98.66666666666667
legacy,2000,True,False,3,0.5346084766001815,0.009373361324683995,0.3651222776982941,0.021014715671116707,0,0.45499748309031834,35.666666666666664,0.6121051849102884,122.66666666666667,0.749743341202466,64.66666666666667,0.3215878971976533,77.0
legacy,2500,True,False,3,0.5644298830347115,0.016835410154159212,0.38589569181749317,0.0272988385270281,0,0.5585970701464927,46.333333333333336,0.5799600430305825,105.66666666666667,0.7578852762357916,56.333333333333336,0.36127714272597894,91.66666666666667
legacy,3000,True,False,3,0.5550558901010163,0.02519420137599169,0.3691872079500466,0.026239430875529074,0,0.6029635077254125,41.666666666666664,0.5515728284901639,101.33333333333333,0.7050429664854075,59.0,0.3606442577030813,98.0
legacy,5000,True,False,3,0.5646510060002816,0.016878880566502483,0.3871859277829248,0.011138394775408431,0,0.555646704949412,37.333333333333336,0.6106844364912573,113.66666666666667,0.737408448748655,53.666666666666664,0.35486443381180227,95.33333333333333
legacy,8000,True,False,3,0.559863426616822,0.006113814586389562,0.3795811625617633,0.007507897171999659,0,0.563155780288576,36.666666666666664,0.5911441615906262,105.33333333333333,0.7142847016660429,54.0,0.370869062922043,104.0
legacy,10000,True,False,3,0.5517994656372921,0.01732310230243638,0.3682516394650752,0.02276795722474132,0,0.5277465268196116,30.666666666666668,0.5870813889837352,103.66666666666667,0.7200929313084284,51.333333333333336,0.37227701543739283,114.33333333333333
v2_group_split,100,True,True,1,0.06772334293948126,,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.27089337175792505,300.0
v2_group_split,500,True,False,6,0.20854596775752512,0.07716116728563158,0.06159176956689114,0.037880510043030675,6,0.0,0.0,0.4439316870836332,119.83333333333333,0.12377932145374006,12.5,0.26647286249272734,167.66666666666666
v2_group_split,1000,True,False,6,0.39717969390057567,0.07021859553445677,0.2549603606952904,0.05563929193611722,3,0.13929061170250365,7.333333333333333,0.5071925953724373,83.0,0.6185068616349656,82.5,0.32372870689239625,127.16666666666667
v2_group_split,2000,False,False,3,0.4025030161814085,0.009867711417782398,0.2619111789027329,0.01683171978448385,3,0.0,0.0,0.5830622621641806,105.33333333333333,0.6732175927440728,47.666666666666664,0.35373220981738074,147.0
v2_group_split,2000,True,False,3,0.45642259702960214,0.06654630925718001,0.31113684141902803,0.05512542259244749,1,0.2076190476190476,14.0,0.5360844477260919,82.0,0.7342692154520112,68.0,0.34771767732125786,136.0
v2_group_split,2500,True,False,6,0.56231552780304,0.042043479611446354,0.39680988903996245,0.03369390452881345,0,0.5323873546528753,36.333333333333336,0.5854765483836071,99.66666666666667,0.7460996343794509,63.666666666666664,0.3852985737962264,100.33333333333333
v2_group_split,5000,True,False,6,0.5635976070226705,0.04631826198940285,0.3855140952675195,0.05366536955105236,0,0.5421466751846393,34.166666666666664,0.5764488636610445,101.83333333333333,0.7522675121701781,56.5,0.38352737707482,107.5
v2_group_split,8000,True,False,6,0.5676121558685494,0.012509654447428015,0.38942571870947096,0.018593329133564696,0,0.5655309930656182,36.166666666666664,0.594773049573488,104.83333333333333,0.7341422004603153,55.0,0.3760023803747763,104.0
v2_group_split,10000,True,False,3,0.5131806688570052,0.04208245492249159,0.3342601814467105,0.02211380485048606,0,0.43164808798716087,26.333333333333332,0.5994345395997288,114.0,0.6771430835620681,53.666666666666664,0.3444969642790629,106.0
