experiment_version,silver_size,sample_seed,use_class_weights,dry_run,runs,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std,class_collapse_runs,agree_f1_mean,agree_prediction_count_mean,disagree_f1_mean,disagree_prediction_count_mean,question_f1_mean,question_prediction_count_mean,statement_f1_mean,statement_prediction_count_mean
legacy,500,legacy,True,False,3,0.28976483430500455,0.027947687338172867,0.12629905044612186,0.019445624238494007,3,0.0,0.0,0.4848955489659415,110.66666666666667,0.40586296391876947,77.66666666666667,0.2683008243353071,111.66666666666667
legacy,1000,legacy,True,False,3,0.2774880789362338,0.12205412885379648,0.13802647274211946,0.12566416126191854,2,0.0196078431372549,1.3333333333333333,0.4406826729876443,93.33333333333333,0.3602379223294256,64.33333333333333,0.28942387729061053,141.0
legacy,1500,legacy,True,False,3,0.4196895407873666,0.054521120880546434,0.2738278457260798,0.04064394280341386,2,0.14184397163120568,10.0,0.587482535361392,116.0,0.6772217522396478,75.33333333333333,0.272209903917221,98.66666666666667
legacy,2000,legacy,True,False,3,0.5346084766001815,0.009373361324683995,0.3651222776982941,0.021014715671116707,0,0.45499748309031834,35.666666666666664,0.6121051849102884,122.66666666666667,0.749743341202466,64.66666666666667,0.3215878971976533,77.0
legacy,2500,legacy,True,False,3,0.5644298830347115,0.016835410154159212,0.38589569181749317,0.0272988385270281,0,0.5585970701464927,46.333333333333336,0.5799600430305825,105.66666666666667,0.7578852762357916,56.333333333333336,0.36127714272597894,91.66666666666667
legacy,3000,legacy,True,False,3,0.5550558901010163,0.02519420137599169,0.3691872079500466,0.026239430875529074,0,0.6029635077254125,41.666666666666664,0.5515728284901639,101.33333333333333,0.7050429664854075,59.0,0.3606442577030813,98.0
legacy,5000,legacy,True,False,3,0.5646510060002816,0.016878880566502483,0.3871859277829248,0.011138394775408431,0,0.555646704949412,37.333333333333336,0.6106844364912573,113.66666666666667,0.737408448748655,53.666666666666664,0.35486443381180227,95.33333333333333
legacy,8000,legacy,True,False,3,0.559863426616822,0.006113814586389562,0.3795811625617633,0.007507897171999659,0,0.563155780288576,36.666666666666664,0.5911441615906262,105.33333333333333,0.7142847016660429,54.0,0.370869062922043,104.0
legacy,10000,legacy,True,False,3,0.5517994656372921,0.01732310230243638,0.3682516394650752,0.02276795722474132,0,0.5277465268196116,30.666666666666668,0.5870813889837352,103.66666666666667,0.7200929313084284,51.333333333333336,0.37227701543739283,114.33333333333333
v2_group_split,100,42,True,True,1,0.06772334293948126,,0.0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.27089337175792505,300.0
v2_group_split,500,123,True,False,3,0.23058321680780244,0.0981834543268133,0.06309665258071658,0.047279238450339794,3,0.0,0.0,0.4308893868511748,110.33333333333333,0.2475586429074801,25.0,0.24388483747255477,164.66666666666666
v2_group_split,500,42,True,False,3,0.18650871870724783,0.06154431412848607,0.06008688655306571,0.036677134507760834,3,0.0,0.0,0.45697398731609146,129.33333333333334,0.0,0.0,0.2890608875128999,170.66666666666666
v2_group_split,1000,123,True,False,3,0.4340951347834163,0.07833470080165215,0.28430205576864737,0.06834891825604819,1,0.21465428276573786,11.666666666666666,0.49878144096520444,84.66666666666667,0.6734160654160655,76.33333333333333,0.3495287499866577,127.33333333333333
v2_group_split,1000,42,True,False,3,0.36026425301773507,0.04584815395052688,0.22561866562193333,0.022021516336883918,2,0.0639269406392694,3.0,0.5156037497796703,81.33333333333333,0.5635976578538658,88.66666666666667,0.29792866379813476,127.0
v2_group_split,2000,42,False,False,3,0.4025030161814085,0.009867711417782398,0.2619111789027329,0.01683171978448385,3,0.0,0.0,0.5830622621641806,105.33333333333333,0.6732175927440728,47.666666666666664,0.35373220981738074,147.0
v2_group_split,2000,42,True,False,3,0.45642259702960214,0.06654630925718001,0.31113684141902803,0.05512542259244749,1,0.2076190476190476,14.0,0.5360844477260919,82.0,0.7342692154520112,68.0,0.34771767732125786,136.0
v2_group_split,2500,123,True,False,3,0.5815703839100758,0.012972919353466318,0.4070113428861127,0.023732078683546633,0,0.6076488416294241,41.333333333333336,0.5748635986821506,101.66666666666667,0.73545518701482,60.333333333333336,0.4083139083139083,96.66666666666667
v2_group_split,2500,42,True,False,3,0.543060671696004,0.05602312341288868,0.3866084351938121,0.04430324441420219,0,0.4571258676763264,31.333333333333332,0.5960894980850635,97.66666666666667,0.7567440817440817,67.0,0.36228323927854444,104.0
v2_group_split,5000,123,True,False,3,0.5376129557292088,0.057435970144718664,0.3530770034999439,0.06251409564324982,0,0.48699588477366257,29.666666666666668,0.5518045246246083,95.0,0.7357003876819546,53.0,0.3759510258366094,122.33333333333333
v2_group_split,5000,42,True,False,3,0.5895822583161322,0.006241514984678576,0.4179511870350951,0.01163713029573001,0,0.5972974655956161,38.666666666666664,0.6010932026974808,108.66666666666667,0.7688346366584016,60.0,0.3911037283130307,92.66666666666667
v2_group_split,8000,123,True,False,3,0.5603303962663219,0.011990223412174001,0.37857282481718196,0.01604956482425119,0,0.5577926682492219,34.0,0.5883857803283915,105.33333333333333,0.7315646258503401,55.333333333333336,0.36357851063733415,105.33333333333333
v2_group_split,8000,42,True,False,3,0.574893915470777,0.009401654630829375,0.40027861260175995,0.015916509419875078,0,0.5732693178820144,38.333333333333336,0.6011603188185844,104.33333333333333,0.7367197750702905,54.666666666666664,0.3884262501122184,102.66666666666667
v2_group_split,10000,42,True,False,3,0.5131806688570052,0.04208245492249159,0.3342601814467105,0.02211380485048606,0,0.43164808798716087,26.333333333333332,0.5994345395997288,114.0,0.6771430835620681,53.666666666666664,0.3444969642790629,106.0
