fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.6159673659673659,0.4605160281469898,4,,False
1,123,0.6489855072463767,0.498607242339833,4,,False
1,2026,0.5469635627530364,0.35110081112398606,4,,False
2,42,0.4273424369747899,0.19515361315447854,4,,False
2,123,0.5620512820512821,0.3760000000000001,4,,False
2,2026,0.5114926739926741,0.32409012131715775,4,,False
3,42,0.4219150025601638,0.22829581993569137,4,,False
3,123,0.49870291400142147,0.3386243386243386,4,,False
3,2026,0.5620438965059708,0.4059405940594061,4,,False
4,42,0.2699128078237304,0.033742331288343586,4,,False
4,123,0.405642484589853,0.2128279883381924,4,,False
4,2026,0.5489426457469696,0.3532338308457712,4,,False
5,42,0.5372606352482514,0.3499197431781701,4,,False
5,123,0.541799217731421,0.4767441860465117,4,,False
5,2026,0.5850859788359788,0.4444444444444444,4,,False
