train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.46323629936687577,0.25434165584259394,False,0,0.33557046979865773,85,0.562962962962963,125,0.625,52,0.32941176470588235,38
123,0.536014163632228,0.37806347930895945,False,0,0.5037037037037037,71,0.6423357664233577,129,0.7058823529411765,58,0.29213483146067415,42
2026,0.5574561403508772,0.3765239162807442,False,0,0.5,72,0.6175438596491228,140,0.7789473684210526,51,0.3333333333333333,37
