fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.4949529918881309,0.29648241206030146,4,,False
1,123,0.6291771409418468,0.4667697063369398,4,,False
1,2026,0.5353418803418803,0.36545240893066977,4,,False
2,42,0.4177591036414566,0.15094339622641506,4,,False
2,123,0.5044563279857398,0.3004275165176835,4,,False
2,2026,0.5099289668975592,0.3478260869565216,4,,False
3,42,0.607720810647308,0.4581280788177339,4,,False
3,123,0.4872609289617486,0.2627118644067796,4,,False
3,2026,0.5488664215686274,0.40104166666666663,4,,False
4,42,0.40455730709968,0.15282392026578073,4,,False
4,123,0.47120098039215685,0.3023255813953487,4,,False
4,2026,0.5002293314986813,0.2880523731587562,4,,False
5,42,0.329127613554434,0.1959334565619223,4,,False
5,123,0.5104563213784813,0.4362745098039216,4,,False
5,2026,0.6445221445221446,0.5238095238095238,4,,False
