train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.45830015876443914,0.25306957708049116,False,0,0.24778761061946902,49,0.6242038216560509,169,0.651685393258427,45,0.30952380952380953,37
123,0.5353872318158033,0.35666579360921946,False,0,0.45454545454545453,68,0.6223776223776224,141,0.7551020408163265,54,0.30952380952380953,37
2026,0.5561705758479124,0.38630226659029543,False,0,0.4732824427480916,67,0.6433566433566433,141,0.7551020408163265,54,0.35294117647058826,38
