train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.3647707847118607,0.1902313624678662,False,2,0.35294117647058826,55,0.6591549295774648,210,0.37681159420289856,25,0.07017543859649122,10
123,0.3613513186297997,0.16906966155714065,False,2,0.15384615384615385,27,0.6455026455026455,233,0.6075949367088608,35,0.038461538461538464,5
2026,0.32355275706606557,0.13089748137637458,False,4,0.10126582278481013,15,0.645,255,0.547945205479452,29,0.0,1
