train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.35975309856384025,0.16276185226019846,False,0,0.15384615384615385,40,0.6086956521739131,177,0.5098039215686274,58,0.16666666666666666,25
123,0.4764730584516213,0.27258320126782876,False,0,0.32894736842105265,88,0.5648854961832062,117,0.6938775510204082,54,0.3181818181818182,41
2026,0.42853215575300346,0.22877881578063053,False,2,0.3089430894308943,59,0.5592105263157895,159,0.6846846846846847,67,0.16129032258064516,15
