fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.44284151724676746,0.2449862367282737,4,,False
1,123,0.499601977543154,0.29933826391592067,4,,False
1,2026,0.425462962962963,0.26249008723235523,4,,False
2,42,0.34679186228482,0.18662449164030726,4,,False
2,123,0.3966117216117216,0.19565217391304346,4,,False
2,2026,0.40982290803645405,0.2401628222523745,4,,False
3,42,0.3702485380116959,0.20036764705882348,4,,False
3,123,0.5830808080808081,0.4155844155844155,4,,False
3,2026,0.4225794370984933,0.2227979274611398,3,statement,True
4,42,0.29996807151979565,0.05940594059405935,4,,False
4,123,0.4117704391698199,0.2054574638844301,4,,False
4,2026,0.40123447204968943,0.1747572815533981,4,,False
5,42,0.3044117647058824,0.12234042553191471,4,,False
5,123,0.4564327485380117,0.25,4,,False
5,2026,0.41517763845350053,0.24242424242424232,3,statement,True
