fold,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std
1,0.18294929831037543,0.037253063137735735,0.023290538910287872,0.011664452213287616
2,0.21581122478469453,0.12149009521852513,0.0671695611311246,0.08146902684332408
3,0.21017494198087192,0.04494656674697105,0.07312443730374256,0.039156116208761464
4,0.24130419471844156,0.05721889902049218,0.03949873860167737,0.1272900113555577
5,0.16841361492578721,0.009512884819278701,-0.0005299417064122588,0.0009178859605557817
