train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.4066590784332719,0.2040423158819752,False,0,0.24074074074074073,44,0.5870967741935483,165,0.5555555555555556,64,0.24324324324324326,27
123,0.46491904023671765,0.28363207839732063,False,0,0.4050632911392405,94,0.5587044534412956,102,0.6037735849056604,62,0.29213483146067415,42
2026,0.4397222702148314,0.2514318250326556,False,0,0.3389830508474576,54,0.5742574257425742,158,0.6551724137931034,72,0.19047619047619047,16
