fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.4935569531795947,0.2902208201892744,4,,False
1,123,0.4536655011655012,0.2773892773892773,4,,False
1,2026,0.3968088582175188,0.23365890308039072,4,,False
2,42,0.3680082559339525,0.19999999999999996,4,,False
2,123,0.4515439992422089,0.27382753403933424,4,,False
2,2026,0.4064484948909141,0.2692828146143438,4,,False
3,42,0.4967532467532467,0.291958041958042,4,,False
3,123,0.4870833333333333,0.3317972350230415,4,,False
3,2026,0.49884615384615383,0.31937172774869116,4,,False
4,42,0.30454224759278115,0.040983606557376984,4,,False
4,123,0.3933706816059757,0.18674698795180722,4,,False
4,2026,0.34750000000000003,0.14634146341463417,4,,False
5,42,0.35387845849802374,0.19965576592082623,4,,False
5,123,0.5277851458885942,0.35430463576158944,4,,False
5,2026,0.47185314685314683,0.2993079584775086,4,,False
