train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.4258326509104484,0.20387677397023185,False,0,0.23140495867768596,57,0.5684931506849316,147,0.6086956521739131,48,0.29473684210526313,48
123,0.545022841206612,0.3711590681720738,False,0,0.4647887323943662,78,0.6188679245283019,120,0.7422680412371134,53,0.3541666666666667,49
2026,0.5002325581395349,0.2960802275685841,False,0,0.3875968992248062,65,0.56,130,0.72,56,0.3333333333333333,49
