fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.48500996810207336,0.2938311688311688,4,,False
1,123,0.5413769271664008,0.35739785799285995,4,,False
1,2026,0.5334627778236801,0.3560751245688003,4,,False
2,42,0.39593406593406594,0.1700569568755086,4,,False
2,123,0.5109259259259259,0.34630350194552517,4,,False
2,2026,0.4185652709359606,0.24081632653061213,4,,False
3,42,0.5060674619498149,0.3048128342245989,4,,False
3,123,0.5717721570544151,0.39222042139384117,4,,False
3,2026,0.48960446247464506,0.25619834710743794,4,,False
4,42,0.32889992537828194,0.08952959028831553,4,,False
4,123,0.5006658011252039,0.3171114599686029,4,,False
4,2026,0.4985760239309935,0.272300469483568,4,,False
5,42,0.3887086323763955,0.17383820998278832,4,,False
5,123,0.5803030303030303,0.4417475728155339,4,,False
5,2026,0.5014554163596169,0.35,4,,False
