experiment_version,silver_size,sample_seed,use_class_weights,dry_run,runs,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std,class_collapse_runs,agree_f1_mean,agree_prediction_count_mean,disagree_f1_mean,disagree_prediction_count_mean,question_f1_mean,question_prediction_count_mean,statement_f1_mean,statement_prediction_count_mean
v2_group_split,500,123,True,False,3,0.40366191445440897,0.08830854578539596,0.2467543260562762,0.07607801904036811,0,0.23701969680962467,32.0,0.5163308830786527,97.33333333333333,0.5632305734419815,84.33333333333333,0.2980665044873771,86.33333333333333
v2_group_split,500,42,True,False,3,0.4272664401202939,0.10232101501199495,0.24418435976779743,0.12751621685138445,1,0.19753086419753085,23.333333333333332,0.5534669524808988,141.0,0.658466844681798,52.333333333333336,0.2996010991209482,83.33333333333333
v2_group_split,1000,123,True,False,3,0.5834810776747416,0.01725570439001579,0.405987058299002,0.030035092694437604,0,0.5816489066489067,60.666666666666664,0.5679272236970832,95.66666666666667,0.7788149767798241,51.0,0.40553320357315226,92.66666666666667
v2_group_split,1000,42,True,False,3,0.5792399007226587,0.024202283494978428,0.4192784509313631,0.03194445162687367,0,0.5922356720335331,67.66666666666667,0.5958739034030657,105.66666666666667,0.7877204023621469,64.33333333333333,0.3411296250918892,62.333333333333336
v2_group_split,1500,123,True,False,3,0.6268440459470469,0.03322808285711261,0.480827559108105,0.043294815922300556,0,0.6937320584262073,67.66666666666667,0.5623988740870156,78.0,0.7953105764426519,65.0,0.4559346748323126,89.33333333333333
v2_group_split,1500,42,True,False,3,0.6018533745953653,0.01775240376939832,0.4421438601607876,0.01648890952013319,0,0.6574843576333057,64.66666666666667,0.5767025089605734,96.0,0.7777003254618364,63.333333333333336,0.3955263063257453,76.0
v2_group_split,2000,123,True,False,3,0.6335798972631763,0.011243860653255501,0.4891343032639619,0.013364536239249195,0,0.6828578596056993,72.66666666666667,0.5964395507873769,80.66666666666667,0.8129083470721133,61.0,0.44211383158751577,85.66666666666667
v2_group_split,2000,42,True,False,3,0.6031304326234287,0.0075262380880762,0.44139283135800506,0.018903227560282784,0,0.651196410767697,60.666666666666664,0.575426612723812,93.66666666666667,0.7851088164172276,63.0,0.400789890584978,82.66666666666667
v2_group_split,2500,123,True,False,3,0.6374887864031787,0.029130048084087163,0.49347861890032413,0.03741889970780809,0,0.6981069618967087,70.66666666666667,0.60484403088623,83.66666666666667,0.8182590547905605,60.333333333333336,0.42874509803921573,85.33333333333333
v2_group_split,2500,42,True,False,3,0.6064235171378852,0.017645664820546643,0.452922264566786,0.03249906792182294,0,0.6897649880095923,70.33333333333333,0.5609759439550089,79.66666666666667,0.7775742775742777,64.0,0.39737885901266184,86.0
v2_group_split,5000,123,True,False,3,0.612533356037197,0.03124128222549309,0.4631390225041098,0.043498535100095485,0,0.6906783700828384,76.0,0.5564390984796534,73.66666666666667,0.7755651576039925,60.0,0.42745079798230384,90.33333333333333
v2_group_split,5000,42,True,False,3,0.6058884314911164,0.007560796826212264,0.4500816643078014,0.012266516634123014,0,0.7182224456734261,69.66666666666667,0.5069601489632205,66.66666666666667,0.7639354076662945,63.333333333333336,0.43443572366152433,100.33333333333333
v2_group_split,8000,123,True,False,3,0.5893936508459211,0.015333552765851475,0.4252628981339082,0.026508422513196666,0,0.6782957709482532,69.66666666666667,0.4907659788611906,66.66666666666667,0.7684619489363959,61.0,0.4200509046378447,102.66666666666667
v2_group_split,8000,42,True,False,3,0.6008117847060203,0.006068208876509961,0.4392221005294452,0.00890861847333897,0,0.7021381641411265,68.0,0.5044048903272205,67.66666666666667,0.7823794107466454,61.666666666666664,0.4143246736090885,102.66666666666667
v2_group_split,10000,42,True,False,3,0.5849260611775696,0.005934787843012709,0.42105860236480624,0.006771210368304973,0,0.6567181981314799,67.0,0.5039452557984804,70.33333333333333,0.7446478028159014,60.666666666666664,0.43439298796441655,102.0
