silver_size,use_class_weights,macro_f1_mean,macro_f1_std,cohen_kappa_mean,cohen_kappa_std,n_runs,agree_f1_mean,disagree_f1_mean,question_f1_mean,statement_f1_mean
500,True,0.4156011481066489,0.0861734025722003,0.24618571576845097,0.09272890505414805,6,0.21782303536732328,0.5356771618635567,0.606984382106523,0.30192001308919264
1000,True,0.5790123612191719,0.01992810314805609,0.4089980148491399,0.02926368635174349,6,0.5868777373893653,0.5792582467855204,0.7788892477588637,0.3710242129429384
1500,True,0.6093968166125104,0.0271985171787909,0.4546739167302107,0.0358570449323702,6,0.6722792161457344,0.5657498303099632,0.7824921912486632,0.41706602874568094
2000,True,0.6153541565309769,0.018364919513879422,0.46121282864281515,0.029576824865925784,6,0.6637688651620645,0.5836134654238768,0.7951468164485055,0.4188874790894607
2500,False,0.61130182590026,0.025189980346317864,0.44886724383944004,0.036858045248994185,6,0.6855256363525909,0.5381796369298424,0.7935606045847824,0.42794142573382477
2500,True,0.6178761968110315,0.028207903527589163,0.467750599543949,0.03902996303009524,6,0.6893093325703364,0.5800408992655107,0.7940408280561685,0.4081137273521103
5000,True,0.6056401898403175,0.021382037965310456,0.4520270385442698,0.030560388678741196,6,0.7000678715981201,0.5285692603541596,0.7653069461430353,0.4286166812659553
8000,True,0.5907592813388798,0.012291941669605722,0.42653891027950447,0.018893885636063895,6,0.6854769579387568,0.49357616211483096,0.7710736747529201,0.4129103305490112
10000,True,0.5803595263622499,0.004356826901841953,0.415137502409862,0.004831078796870251,3,0.6513976979093258,0.5000665261534827,0.7396584896584897,0.43031539172770117
