strategy,configuration,predictions_file,n_samples,macro_f1,cohen_kappa,accuracy,agree_f1,disagree_f1,question_f1,statement_f1
A,zeroshot,zeroshot_predictions.csv,296,0.5105601149904948,0.29376404059183525,0.4797297297297297,0.5274725274725275,0.5147679324894515,0.7045454545454546,0.29545454545454547
A,fewshot,fewshot_predictions.csv,296,0.5916267942583732,0.42000455684666216,0.5641891891891891,0.7543859649122807,0.5454545454545454,0.6666666666666666,0.4
