silver_size,macro_f1_mean,macro_f1_std,n_runs
500,0.4154641772873515,0.08645431069819443,6
1000,0.5813604891987002,0.018942022561712624,6
1500,0.6143487102712061,0.02747838110884054,6
2000,0.6183551649433024,0.01874509092838621,6
2500,0.621956151770532,0.027449716969281834,6
5000,0.6092108937641566,0.020652357060708608,6
8000,0.5951027177759706,0.012160942973757626,6
10000,0.5849260611775696,0.005934787843012722,3
