fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,42,0.6253865182436611,0.4957983193277311,4,,False
1,123,0.5147352647352648,0.3348115299334812,4,,False
1,2026,0.5071630851241047,0.32356257046223225,4,,False
2,42,0.3809162760775664,0.16385135135135143,4,,False
2,123,0.43892480068950657,0.23133235724743784,4,,False
2,2026,0.4171613535581886,0.19335705812574133,4,,False
3,42,0.3866554054054054,0.1838649155722326,4,,False
3,123,0.5532157750934714,0.3686868686868686,4,,False
3,2026,0.5719616596638656,0.40311418685121103,4,,False
4,42,0.3878232240301206,0.1885964912280701,4,,False
4,123,0.5155858395989974,0.360655737704918,4,,False
4,2026,0.46688034188034194,0.24646781789638939,4,,False
5,42,0.4867282211337004,0.305785123966942,4,,False
5,123,0.5805668016194331,0.48190789473684204,4,,False
5,2026,0.6101234115347018,0.4819466248037677,4,,False
