train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.4713485341519322,0.27235434878155973,False,0,0.30357142857142855,48,0.5874125874125874,141,0.6060606060606061,55,0.3883495145631068,56
123,0.5298575474374584,0.35294951116988615,False,0,0.47761194029850745,70,0.5900383141762452,116,0.7184466019417476,59,0.3333333333333333,55
2026,0.5204941966566903,0.328901651568276,False,0,0.46616541353383456,69,0.5714285714285714,121,0.7142857142857143,54,0.3300970873786408,56
