train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.18158256983931473,0.03574471902049592,True,5,0.3525641025641026,248,0.28865979381443296,49,0.0851063829787234,3,0.0,0
123,0.22809517497348886,0.050785004806152,True,5,0.0,0,0.6439024390243903,265,0.043478260869565216,2,0.225,33
2026,0.2527820910973085,0.063696142899205,True,5,0.028985507246376812,5,0.625,255,0.35714285714285715,40,0.0,0
