fold,train_seed,macro_f1,cohen_kappa,predicted_class_count,missing_prediction_classes,class_collapse
1,7,0.6013657609697824,0.43442622950819665,4,,False
1,99,0.6568241626794258,0.5094760312151616,4,,False
1,777,0.6405076405076405,0.47410358565737054,4,,False
1,1234,0.6172348484848484,0.4522632179535945,4,,False
1,5555,0.545236013986014,0.38543247344461307,4,,False
2,7,0.5519632414369257,0.3952120957580849,4,,False
2,99,0.5223053782375816,0.3569661995053586,4,,False
2,777,0.5649094820800756,0.4029850746268656,4,,False
2,1234,0.48069561157796453,0.287833827893175,4,,False
2,5555,0.4784937888198758,0.2522658610271902,4,,False
3,7,0.46491351098644224,0.2881355932203389,4,,False
3,99,0.49594500824009013,0.3401015228426396,4,,False
3,777,0.5588749485808309,0.3850267379679144,4,,False
3,1234,0.5657514161612522,0.44067796610169485,4,,False
3,5555,0.5018901113038057,0.27135678391959794,4,,False
4,7,0.45498992532890836,0.22757475083056478,4,,False
4,99,0.5624738165060745,0.44084278768233387,4,,False
4,777,0.5557234432234432,0.43719412724306694,4,,False
4,1234,0.5612417981292754,0.3848580441640378,4,,False
4,5555,0.354727398205659,0.12030075187969913,4,,False
5,7,0.5792709174065106,0.40099833610648916,4,,False
5,99,0.5932351370228851,0.4915254237288136,4,,False
5,777,0.5776353276353277,0.3799682034976152,4,,False
5,1234,0.6299533799533801,0.5388349514563107,4,,False
5,5555,0.4433965070958912,0.2869269949066213,4,,False
