train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.5266350707401789,0.340251193249385,False,0,0.4,56,0.6175438596491228,140,0.7216494845360825,53,0.3673469387755102,51
123,0.5341374650590053,0.34810106055200596,False,0,0.4563758389261745,85,0.6064981949458483,132,0.7526881720430108,49,0.32098765432098764,34
2026,0.5318666696195571,0.35644626326298245,False,0,0.45614035087719296,50,0.6462585034013606,149,0.7157894736842105,51,0.30927835051546393,50
