train_seed,macro_f1,cohen_kappa,class_collapse,fold_collapse_runs,agree_f1,agree_prediction_count,disagree_f1,disagree_prediction_count,question_f1,question_prediction_count,statement_f1,statement_prediction_count
42,0.36874245950558193,0.15692792761917806,False,0,0.19469026548672566,49,0.5993690851735016,172,0.4731182795698925,49,0.2077922077922078,30
123,0.45627813278675344,0.24774085697613912,False,0,0.3586206896551724,81,0.5384615384615384,115,0.625,52,0.30303030303030304,52
2026,0.4583133464802412,0.27363200694641576,False,0,0.3697478991596639,55,0.584717607973422,156,0.6666666666666666,70,0.21212121212121213,19
